id	name
251	Windows Defender for Windows Server 2003 Service Pack 2
251	Windows Defender for Windows Server 2003 with SP2 for Itanium-based Systems
251	Windows Defender for Windows Server 2003 x64 Edition Service Pack 2
251	Windows Defender for Windows Server 2008 for 32-bit Systems Service Pack 2
251	Windows Defender for Windows Server 2008 for x64-based Systems Service Pack 2
251	Windows Defender for Windows Server 2008 R2 for x64-based Systems 
251	Windows Defender for Windows Server 2008 R2 for x64-based Systems Service Pack 1
251	Windows Defender for Windows Vista Service Pack 2
251	Windows Defender for Windows Vista x64 Edition Service Pack 2
251	Windows Defender for Windows XP Professional x64 Edition Service Pack 2
251	Windows Defender for Windows XP Service Pack 3
10333	Windows Defender Offline
9500	Windows Embedded Standard 7 for 32-bit based Systems
9502	Windows Embedded Standard 7 for x64-based Systems
10474	Windows Essentials 2011
10475	Windows Essentials 2012
10401	Windows Internet Explorer 10
10486	Windows Internet Explorer 11
1282	Windows Internet Explorer 7
1233	Windows Internet Explorer 8
10054	Windows Internet Explorer 9
10491	Windows Media Format Runtime 11 (wmvdecod.dll)
10491	Windows Media Format Runtime 11 (wmvdecod.dll) when installed
10491	Windows Media Format Runtime 11 (wmvdmod.dll)
10494	Windows Media Format Runtime 9 (wmvdmod.dll)
10492	Windows Media Format Runtime 9.5 (wmvdmod.dll)
10493	Windows Media Format Runtime 9.5 x64 (wmvdmod.dll)
234	Windows Media Player 11 (wmvdecod.dll)
9310	Windows Media Player 12 (wmvdecod.dll)
10377	Windows RT
10484	Windows RT 8.1
10284	Windows RT Release Preview
5672	Windows Script 5.6
10567	Windows Script 5.7
10567	Windows Script 5.7 when installed
10568	Windows Script 5.8
6236	Windows Server 2003 for Itanium-based Systems Service Pack 2
4898	Windows Server 2003 Service Pack 2
6236	Windows Server 2003 with SP2 for Itanium-based Systems
5867	Windows Server 2003 x64 Edition Service Pack 2
73	Windows Server 2008 for 32-bit Systems
9312	Windows Server 2008 for 32-bit Systems Service Pack 
9312	Windows Server 2008 for 32-bit Systems Service Pack 2
9312	Windows Server 2008 for 32-bit Systems Service Pack 2 
10287	Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)
7741	Windows Server 2008 for Itanium-Based Systems
9311	Windows Server 2008 for Itanium-Based Systems Service Pack 2
9318	Windows Server 2008 for Itanium-based Systems Service Pack 2
9311	Windows Server 2008 for Itanium-Based Systems Service Pack 2 
9189	Windows Server 2008 for x64-based Systems
